Comp,Eg (eV)
Zn0.5Cd0.5Se,2.95
Zn0.5Hg0.5Se,0.675
Zn0.75Cd0.25Se,3.25
Zn0.7S0.7Ga0.3P0.3,2.45
Zn0.85S0.85Ga0.15P0.15,2.65
Zn0.95S0.95Ga0.05P0.05,2.85
Zn0.99Cd0.01Se,3.6500000000000004
Zn2In2S5,2.696
Zn3As2,0.948888888888889
Zn3In2S6,2.925
Zn3P2,1.1749999999999998
Zn3Sb2,0.17666666666666667
Zn4Sb3,1.1
ZnAs2,1.0266666666666666
ZnGeAs2,1.1033333333333333
ZnGeN2,3.05
ZnGeP2,2.16
ZnIn2S4,2.753
ZnIn2Se4,1.955
ZnIn2Te4,1.8733333333333333
ZnO,3.4031818181818183
ZnS,3.7039999999999997
ZnSb,1.0833333333333333
ZnSe,2.774375
ZnSnAs2,0.7033333333333333
ZnSnP2,1.6275
ZnSnSb2,0.35
ZnTe,2.288888888888889
ZrS3,2.2249999999999996
ZrSe3,1.45
