,Eg (eV),Comp
124,0.7,Ga1.002Sb0.998Te0.006
125,10.0,CsF
126,1.14,KSbSe2
127,1.98,Ag3AsSe3
128,1.84,As2Se3
129,3.13,LiGaSe2
130,1.4,NbSe2
131,1.5,Rb2CsSb
132,2.0,OsS2
133,1.8,GeS
134,0.8,RuAs2
135,0.35,InSb0.99As0.01
136,0.67,Ga1.1Sb0.9Se0.3
137,2.96,Sm2S3
138,2.0,SiP
139,1.27,YbB66
140,0.08,Pb0.9Sn0.1Se
141,1.3,TlTiPS5
142,1.6,CsYbMnSe3
143,2.2,K10Fe4Sn4S17
144,0.4,Pb0.95Te0.95Ge0.05S0.05
145,3.58,BaSe
146,2.2,K4In4P6Se20
147,0.28,Pb0.94Sn0.06Te
148,0.2,Bi2Te0.45Se2.55
149,3.52,KNb3Te2O12
150,2.17,Cd4P2I3
151,0.9,Cr2S3
152,1.32,InSe
153,3.7,Sr0.5TaO3
154,2.44,Tb4GaSbS9
155,1.1,Na3Sb
156,3.3,B12P2
157,0.69,Dy2Te3
158,1.0,TiTlS2
159,1.25,Bi2S3
160,1.08,Ba2GaYTe5
161,0.31,Pb0.99Se0.99Sn0.01Se0.01
162,2.05,Tl2InGaSe4
163,2.61,NaLaS3
164,4.89,CsGe5BO12
165,0.6,Tl2.35Sb8.65Se14
166,1.03,SnS0.8Se0.2
167,2.03,Hg3PS4
168,2.95,Zn2In2S5
169,1.07,Cs2ZnGe3Te8
170,0.98,EuSb4S7
171,0.17,PbSe
172,2.0,Na0.75Eu1.625GeSe4
173,2.36,PbI2
174,2.23,ZnHg3Se2Cl4
175,3.63,EuBiW2O9
176,0.8,CsSb
177,2.37,Hg2I2
178,2.34,Rb3CdB5O10
179,0.8,Hg0.5Cd0.5Se
180,1.44,TlInSe2
181,2.17,TaGaSe2
182,0.45,Ir0.67Se2
183,0.4,Bi2Se3
184,1.08,La2Ge2Se7
185,3.25,Bi12GeO20
186,4.4,CaSnO3
187,2.7,Ba2Sb7O14H
189,3.99,Sr3EuP3O12
190,2.5,Zn0.15Cd0.85Se
192,1.5,CsLuCoS3
193,1.92,BiSBr
194,0.35,CoP2
195,7.03,NaBr
196,0.37,Pb0.95Mn0.05Te
197,2.64,TlBr
198,1.99,Ba6Ga2SnSe11
199,2.27,La4Cd4In2S13
200,2.7,CsAg2AsS3
202,1.3,MnO2
203,1.97,SbSI
204,1.05,CuSbSe2
205,0.3,Ce2Sn3Se9
207,1.0,RuSe2
208,2.68,Na2Hg3Ge2S8
209,3.22,Hg4P2ZrCl6
210,0.55,Cs3Bi
211,3.02,RbCd4Ga5S12
212,0.82,GaSb
213,0.9,Cs4Cu3Bi9S17
214,1.58,SeTe
216,2.67,La1.86Tb1.14Ga1.67S7
217,2.79,ZnSe
218,1.78,SrPbO3
219,0.5,Na7Co2O6
220,1.3,In0.99Al0.01P
221,0.26,PbSe0.99S0.01
222,0.3,Bi2Te2Se
223,2.45,Cu3NbSe4
224,2.65,Ba4LiGa5Se12
225,2.0,GaSe
226,2.08,Ag3SbS3
227,2.4,Ga0.4Al0.6P
228,0.37,Tl2Se
229,3.9,RbInTe3O8
230,1.2,K2RbSb
231,1.45,Ga2Te3
232,1.28,CdIn2Te4
233,1.45,PbO2
234,0.3,AgFeTe2
235,3.56,TlCl
237,4.0,Li2WTeO6
238,1.75,Nd2Se3
240,6.89,K3B6O10Cl
241,1.5,ZrSe3
242,3.99,Rb5BS4O16
243,2.95,KCuThS3
244,0.11,InSb0.3As0.7
245,1.24,Cu3AsS4
246,1.3,Pr2Te3
247,1.2,Eu3Sb4S9
248,3.16,Ba2V2Te2O11
249,3.17,Na2In2GeS6
251,0.6,HgIn2Se4
252,2.66,Cd4V3Te3O15
253,3.13,AgAlS2
254,2.08,Rb2Cu2SnS4
256,0.78,TlTaS3
257,1.0,CuGaTe2
258,2.57,Cu0.35Ga1.65S2.65
259,3.08,CdBiO2Cl
260,2.85,Ga2S3
261,1.24,Si30P16Te8
262,0.62,Ga1.01Sb0.99Se0.03
263,1.8,EuHo2Se4
268,0.75,Zn0.5Hg0.5Se
269,0.82,Mg3Sb2
271,2.46,TaGaS2
272,0.26,Pb0.01Sn0.99Te
273,0.08,Pb0.8Sn0.2Se
274,0.32,SmTe
275,1.7,Ce2GeSe5
276,0.9,RbBiSe2
277,1.28,GaAs0.05Sb0.95
278,0.16,CrSb2
279,1.24,La2GeSe5
280,0.85,TlScTe2
283,3.41,Sr2TiO4
284,3.08,Nb2O5
285,0.7,In6S7
286,3.26,Hg4P2HfCl6
288,2.6,DyN
289,3.9,CsInTe3O8
290,2.58,Cu5Ta11O30
291,7.75,LiB3O5
292,6.6,LaF3
293,5.9,AlN
295,1.31,K2Sb8Se3
296,6.0,CaS
297,1.5,CdSiAs2
298,1.0,IrP2
299,2.3,Ba3Bi2TeO9
301,3.02,NaNO2
302,0.6,Cs3As
303,1.5,CuInS2
304,2.43,SnS2
305,2.5,SbI3
306,6.26,RbI
307,0.33,PbSe0.5S0.5
308,2.5,Mn2P2Se6
309,2.37,Na2CdGe2Se6
310,3.02,KAg2PS4
311,2.46,Cu0.5Ga1.5S2.5
312,2.2,P2Se5
313,3.27,Na2BaSnS4
314,2.35,Pb4Ga5GeS12
315,0.65,CsAg5Te3
319,0.3,TlPTe
320,0.28,Pb0.94Se0.94Ge0.06Te0.06
321,1.8,BiI3
322,2.46,BaZnGeSe4
323,1.89,SiP2
324,0.29,Pb7Bi4Se13
325,1.0,Sr2Bi5.42La2.58S14
326,0.75,YbSnTe2
327,2.0,BaPrO3
329,1.89,As2S3
330,5.0,Dy2O3
331,2.14,AgGaGe5Se12
332,5.65,LaBeB3O7
333,1.04,Ba2GaSmTe5
334,2.4,Zn0.7S0.7Ga0.3P0.3
335,2.0,Na2EuGeSe4
337,6.53,Li6Rb5B11O22
338,1.4,K9Bi13S24
339,3.6,MnO
340,3.65,KBaB5O9
341,5.15,FeI2
343,1.26,La3LuSe6
344,5.9,PrF3
345,1.15,NdIn3S6
347,1.6,NaSbSe2
349,3.66,NdFMoO4
351,0.34,Ru2Ge3
352,0.9,ZnAs
353,2.09,Bi2YVO8
354,4.1,LiTaO3
355,0.95,CsYbCoSe3
358,1.0,Ho2HfS5
359,0.9,FeSi2
360,2.7,RbInSnS4
361,2.12,Ba2NdGaS5
362,2.24,Ga0.99P0.99Zn0.01Se0.01
363,1.5,EuLiH3
364,1.04,AgInSe2
365,1.91,Pb4Ga5GeSe12
366,4.17,Ba2InTaO6
367,3.34,Ca6Bi6O15
368,2.19,RbCd4Ga5Se12
369,0.32,Pb0.99Te0.99Ge0.01S0.01
371,1.5,CdTe
372,4.0,LiNbO3
373,1.46,LiInTe2
379,0.18,Zr6O
380,2.01,K6Nb2.97Ta1.03S25
381,3.2,Cu2MgSiS4
382,0.43,InAs
383,1.41,UP2S9
384,3.56,LiInS2
385,0.47,Sn3As2
386,1.5,InP
387,1.52,NaAsSe2
388,1.8,Ga0.4As0.4Zn0.6Se0.6
389,0.68,GaAs0.65Sb0.35
394,0.47,NaSbTe2
395,3.44,Pb17O8Cl18
396,7.0,KH2PO4
397,1.98,Hg3PS3
398,3.69,ZnS
399,1.63,Cu2ZnGeSe4
400,2.1,Tb2GeS5
401,2.26,CI4
402,2.17,ZrS3
404,6.31,KI
406,1.4,Ce2Te3
407,1.0,Cs2Bi8.81La1.19S16
408,2.29,Cs2Ta2P2Se12
409,2.18,Tl3TaS4
410,4.9,Rb2Zn3Se4O12
411,0.6,CuIn3Se5
412,0.88,Tl2InGaTe4
413,0.69,Ga0.95Sb0.95Hg0.05Te0.05
414,0.8,SrZrS3
415,2.19,Cd4P2Br3
416,1.65,Ca3Ti2Si3O12
417,3.15,Bi2Mo2Se2O13
418,3.2,Cu2ZnSiS4
419,1.07,BiCuOS
420,0.61,CdGeAs2
421,2.35,Ga0.6Al0.4P
423,3.4,CsYTe3O8
425,2.84,Ba23Ga8Sb2S38
426,6.0,CdF2
427,1.35,Nd2YbCuS5
428,2.4,Ba2HgS5
429,0.85,AgTe
431,2.24,Ag3AsS3
432,2.0,CuNbO3
433,0.14,In5Se6
434,4.35,CdIO4H
435,2.42,CuGa2S3.5
437,1.96,Ba3ThSe7
439,1.58,ZnYBiO4
440,2.6,Hg3Te2UCl6
441,3.08,PbGa4S7
442,3.54,MoO3
443,1.07,ErSe2
444,1.07,CuTlSe2
445,1.63,KAsSe2
446,2.9,SmCuOS
447,2.41,CsYZnSe3
450,0.16,InSb0.7As0.3
451,0.28,Bi0.2Te3Sb1.8
452,1.95,K2FeGe3Se8
454,2.5,Zn0.01Cd0.99Se
458,0.28,Bi2Te0.6Se2.4
459,3.62,AlP
460,0.27,Bi2Te0.03Se2.97
461,2.15,RbCu4AsS4
462,2.34,ZnGeP2
463,0.27,YPdSb
465,0.22,Pb0.94Se0.94Sn0.06Se0.06
467,0.19,Sb2Te3
468,1.65,CdGeP2
470,0.29,Hg0.01Cd0.99Se
471,2.65,MnSb2O4
472,2.7,Cu0.2Ga1.8S2.8
473,6.31,Cs2Ba3P4O14
474,6.28,LiRbCO3
476,0.6,OsP4
477,1.2,Sb2Se3
478,0.14,Pb0.94Sn0.06Se
479,5.42,Rb4Ge3B6O17
480,1.02,Eu2Se3
486,7.18,CsBr
487,1.9,Cs3Bi2I9
488,0.37,Pb0.995TeGa0.005
490,1.32,In0.9P0.9Ga0.1As0.1
493,2.32,Ca2SnS4
494,1.12,EuO
495,4.99,ZrO2
496,1.78,CsInSn2Se6
498,5.58,RbGeB3O7
499,2.21,Cd0.01Te0.01Al0.99Sb0.99
500,2.13,CsGdZnTe3
501,5.6,LiGaO2
502,0.07,Ag2GeTe3
503,3.8,KTiPO5
504,2.29,AsI3
505,2.4,As4S4
506,0.5,RhSbTe
509,0.75,TlCr5S2Se6
510,1.64,K2AgIn3Se6
511,9.1,BaF2
512,2.1,ZnSnP2
513,2.25,Ga0.15As0.15Zn0.85Se0.85
514,1.97,CsGaSnSe4
515,5.47,Ca10Ge16B6O51
516,0.6,CdIn
517,1.36,Ba2InGdTe5
518,2.21,Rb3Ta2AsS11
519,1.25,HgIn2Te4
521,4.9,RbScSe2O6
522,2.63,BaIn2Se4
523,1.5,Ag2O
527,4.8,SrS
528,2.05,AsSI
529,2.4,CaTaO2N
530,0.18,Pb0.999Sn0.001Te
531,0.82,NaSb
533,2.14,AgAsS2
534,2.1,K3Bi2I9
535,0.9,ErTe
536,4.28,LiCdBO3
537,2.93,Na2ZnSn2S6
538,0.9,Ca2Sn
539,3.71,GeS2
540,2.33,Cu2ZnSiSe4
541,0.7,Sm2Te3
542,1.45,K3Ta2AsSe11
543,2.42,K4Nb2S11
544,0.4,SnGe
546,2.8,Zn0.43Cd0.57Se
547,4.76,LaH2NO5
548,1.8,TlS2
550,4.0,Sr3BiP3O12
551,2.0,ZrSe2
552,3.97,BaIn2P4O14
553,0.45,La2NiVO6
554,3.3,TiO2
555,2.99,Sn0.5GaZn5.5O8
557,2.85,K2PbGe2S6
558,2.0,Rb4GeP4Se12
559,3.88,CsTa3Se2O12
560,2.3,Hg0.01Zn0.99Te
561,1.08,Ge0.02Si0.98
562,1.88,Cd4As2Br3
563,2.45,PbBiO2Cl
564,0.96,CuInSe2
566,0.44,EuBi2Te4
567,2.07,La4InSbS9
570,1.31,YbIn3S6
572,1.18,Ag8GeS6
573,2.0,Cs4GeP4Se12
574,3.44,AgN3
575,1.51,Sm1.82Lu2.18Se6
576,2.03,Si2Te3
577,1.0,LaMg2PdH7
578,1.57,SiAs
579,2.56,CsErZnSe3
581,2.79,Pb2Nb2Se4O15
582,2.4,RbAg5P2S8
583,1.36,Ba2InYTe5
584,1.98,LiZnN
585,1.9,In0.7Al0.3P
587,4.06,KTa3Te2O12
589,0.56,TlSe
590,0.11,Zn3Sb2
591,1.27,LuIn3S6
592,2.43,Hg8As4Bi3Cl13
595,2.45,Na2Hg3Sn2S8
596,0.1,AgTlTe2
597,2.5,Pb3BiV3O12
598,3.25,K2Nd2Ti3O10
599,0.23,Pb0.99Sn0.01Te
600,1.1,Zn3As2
601,2.03,Na2Hg3S2.51Se1.49
602,1.54,BaIr2Ge4S6
603,3.0,Ba3GeS5
605,3.1,EuSe
606,2.63,Tl4GaIn3S8
608,7.3,Li2B4O7
610,3.47,K3CdB5O10
611,1.6,KSbS2
613,0.45,Hg0.2Cd0.8Se
614,0.14,Pb0.85Sn0.15Se
615,3.6,Bi2Te2SO10
616,2.12,Hg0.06Zn0.94Te
618,2.17,KSm2CuS4
619,7.78,MgO
620,0.94,SnS0.25Se0.75
621,1.3,Rb9Bi13S24
622,2.4,La20Mo12O63Cl4
623,2.6,Bi3TeBO9
625,2.46,Li2HgGeS4
626,1.2,In2Se3
628,0.4,FeAsS
629,3.42,Bi2O2CO3
630,1.5,Ge0.774Si0.226
631,2.05,Cu2CdGeS4
632,2.64,Ba2V4Te3O18
633,1.4,CuP2
637,2.65,K2AuI5O15
638,3.1,CuI
639,0.28,NbIrSn
640,0.13,Pb0.85Sn0.15Te
641,1.17,CdIn30Te46
642,0.4,CoPS
643,2.51,CsLaHgSe3
644,2.6,La6Sb4S3O12
645,1.73,Hg0.14Zn0.86Te
648,1.7,TlPS2
649,3.59,Bi3Se2NO11
650,0.09,Pb0.65Se0.65Sn0.35Te0.35
652,1.02,GaAs0.2Sb0.8
654,3.84,Ni2Te3O8
655,0.13,LiSbTe2
656,2.66,Sr4V2Se6O21
657,0.18,LiBiS2
658,1.73,Hg7.5As4Cl6
660,4.2,RbCdB3O6
661,2.6,Rb3Ag9P4S16
662,2.32,KZn4B3O9
666,0.05,Sr8Ga16Ge30
668,5.39,In2P3B1O12
670,1.5,Cs2PdSe8
671,2.72,Sb8O11I2
672,2.1,Ga0.01Sb0.01Zn0.99Te0.99
673,0.23,ScPdSb
675,1.64,RbCd4Ga5Te12
676,2.4,CuGaS2
678,1.3,Ba3Nb2Se9
680,0.49,Pb0.9Mn0.1Te
682,5.54,Rb2GeB4O9
683,0.14,InSb0.1As0.9
684,0.3,CdSnAs2
686,0.67,Tl2SeAs2Te3
687,2.83,LiSm3SiS7
688,0.25,Pb0.9Se0.9Bi0.2Te0.3
690,0.95,Pt0.97S2
691,1.45,ThOTe
694,2.9,CsInSnS4
696,2.38,PbGa2S4
697,0.22,PbTe
698,0.23,Pb0.99Se0.99Ge0.01Te0.01
699,3.33,Cs2ZnGe3S8
701,4.2,Zn2MoSeO7
703,2.3,Ga2Se3
704,4.59,Tb4Al2O9
705,0.93,Li2HgGe
706,2.3,CsAu
707,2.4,In0.5Al0.5P
709,3.02,Ba2SmTaO6
710,2.34,CeBiW2O9
711,1.27,Bi9O7.5S6
712,1.28,SbTeI
713,4.76,Rb2Cd3B16O28
714,0.33,K2Ta15O32
718,2.87,Li2ZnSnS4
719,1.6,EuYb2S4
720,2.19,Rb2CuNbSe4
721,2.18,ZnTe
722,7.42,CsB3O5
723,3.15,SrTiO3
724,0.35,Pb0.9Ge0.1Te
725,1.23,Cu2Se
726,1.02,EuBi2Se4
727,1.5,Rb3Nb2AsSe11
728,6.4,KTi2F7
729,1.92,TlSbS2
732,3.7,Cd4LuB3O10
733,0.12,VO2
734,1.58,Cu0.8Ga1.2Se2.2
735,1.72,CdIn2Se4
736,2.88,Bi38ZnO58
738,2.86,Na2Hg3Si2S8
740,0.7,RhSSe
741,2.7,SrPr2S4
742,1.86,CsAsSe2
743,0.66,GaAs0.86Sb0.14
744,3.64,PrFMoO4
745,1.04,Ge0.9355Si0.0645
747,2.54,CsYCdSe3
748,1.89,Cd4As2I3
750,2.3,Ga0.4Al0.6As
751,2.0,Sc2S3
752,1.8,Zn0.85Hg0.15Se
754,2.21,HgO
755,2.25,Zn0.01S0.01Ga0.99P0.99
756,1.7,Sb2S3
757,1.6,Tb2Mo3O12
760,2.2,HfSe2
761,0.91,Ag2GeSe3
762,2.1,Rb3Bi2I9
763,1.06,CuInTe2
764,1.93,Cd0.55Te0.55Al0.45Sb0.45
766,2.84,Hg2Cl2
767,2.37,Ag4Ba6Sn4S16
768,1.12,Nd2Te3
769,1.12,Ba2GaGdTe5
770,1.89,Mn3Ta2O8
771,0.3,RuSb2
772,1.6,Cs3Sb
773,2.64,Li2GaGe2Se6
775,2.2,Gd2Se3
776,1.44,Rb2Cu2Sn2S6
777,5.62,LiI
778,1.7,Eu3S4
782,1.93,BaHgS2
783,6.43,BaB2O4
784,4.45,Li9Ga13Te21O66
785,0.02,BiSb0.15
786,0.29,Ag0.1Cd0.8In2.1Te4
787,4.62,In2As2O5Cl2
788,1.5,CdTlS2
791,4.5,Eu2O3
792,2.3,TlInS2
793,2.4,Na2PtI6O18
794,1.88,K6Nb1.07Ta2.93S22
795,0.05,OsSbTe
797,1.42,SnS
799,2.1,InN
800,2.2,YVTeO10
802,0.17,Bi1.4Te3Sb0.6
803,4.44,KPbPO4
804,1.74,SiSe2
805,4.9,Na2Zn3Se4O12
806,0.26,PbTe0.05Se0.95
807,0.55,In4Te3
808,1.4,CsBiS2
809,2.23,Ba4CuInSe6
810,4.1,SrSnO3
812,1.97,Tl3VS4
814,7.3,Na2Be4B4O11
815,1.12,Ce2S3
816,1.0,RhP2
817,1.39,Ga0.99As0.99Zn0.01Se0.01
821,1.1,Ce2Ge2Se7
822,0.91,ZnAs2
823,0.38,NaBiS2
825,1.37,Hg0.25Zn0.75Te
827,0.6,Eu7Ga6Sb8
829,3.39,SmBiW2O9
830,1.3,CrSi2
831,0.41,PbS
832,0.72,Ga0.99Sb0.99Hg0.01Te0.01
833,0.16,YPtSb
835,1.2,OsSbS
838,2.0,K4GeP4Se12
839,0.34,AgBiSe2
840,3.4,CsInS2
841,2.05,In0.3As0.3Ga0.7P0.7
844,2.77,Cs2AgBiCl6
845,1.5,CdSnP2
847,1.43,Ba2GaBiTe5
848,4.1,Ca3B2N4
849,1.0,BaUSe3
851,1.18,SmIn3S6
853,1.48,Cu0.5Pb1.75GeS4
855,0.23,PAs
856,0.6,FeAsSe
857,3.31,Sb2O3
858,3.1,KInGeS4
859,1.8,Ba2SnSe5
861,0.7,Mn15Si26
863,1.3,Hg0.9Cd0.1Se
864,1.9,HoN
866,1.86,Cu0.2Ga1.8Se2.8
867,2.58,Rb2CdP2Se6
868,0.22,Pb0.92Se0.92Sn0.08Te0.08
870,1.84,Cs2Hg4.65Cd1.35S7
871,1.55,TiSe2
872,1.58,In0.7P0.7Ga0.3As0.3
873,2.4,SnI2
875,0.29,Bi2Te1.5Se1.5
876,0.34,Pb0.85Se0.85Ge0.15S0.15
877,5.8,NaI
878,1.13,OsP2
879,1.8,CdSiP2
880,1.92,Na2In4SSe6
881,2.7,CuAlSe2
882,1.56,Cu3YbS3
883,0.38,RbSbTe2
884,3.7,Pb3BiP3O12
885,1.99,Ce8Sb2S15
886,5.6,Ba2Ca2B4O10
887,1.11,ZnSb
888,1.85,K2AgVS4
889,1.6,BaCuSbSe3
890,5.51,GaHSeO4
892,1.51,Ga0.75As0.75Zn0.25Se0.25
895,2.38,GeSe2
896,2.45,Cu0.4Ga1.6S2.6
899,3.22,Cs3Nb9Te4O32
900,1.29,Cd5Ga2S2Te6
901,1.9,AgSbS2
902,1.43,In0.01P0.01Ga0.99As0.99
903,0.82,BiCuOSe
904,0.8,Cu4Sn7S16
906,1.25,Ce1.3Lu0.7S3
908,3.76,LiGaS2
909,1.58,Ag2.7Ba6Sn4.3S16
910,1.28,Sm2YbCuS5
912,2.64,K2Hg3Ge2S8
913,5.2,CsScSe2O6
916,0.7,La2HfS5
918,5.12,Ba2B4O9H2
921,2.75,CdGa2Se4
924,0.89,SnS0.01Se0.99
926,0.6,ZrC
933,3.57,Sr2ScSbO6
934,3.44,CdGa2S4
936,0.18,HgTe
937,3.7,La3FMo4O16
938,3.58,TlN3
941,2.8,Cs4Th2P6S18
942,2.27,Mg2Si
943,0.43,CsSbTe2
944,0.81,Ga0.6In0.4As
945,0.76,In0.99As0.99Cd0.01Te0.01
946,0.75,Ga0.5In0.5As
948,0.48,RbBi3Se5
949,1.2,TbIn3S6
950,0.28,PbCoO3
952,4.07,RbH2I3O9
953,1.25,EuN
954,2.06,CuAlTe2
955,0.24,Bi2Te0.3Se2.7
956,1.97,La2Se3
958,3.51,Na2Ti3O7
959,0.43,Pb0.995TeIn0.005
961,0.45,In0.9As0.9Ga0.1P0.1
962,3.67,RbCaBO3
965,1.76,Cu0.5Ga1.5Se2.5
966,2.6,KGaSe2
967,3.83,KIO3
968,1.0,Ga0.9Sb0.9Zn0.1Te0.1
969,1.8,PdTe2
970,2.6,Zn3B2O6
971,1.71,CuGaSe2
972,3.49,RbNb3Te2O12
973,1.0,Tl2S
975,1.0,CdAs2
978,1.42,GaTc
979,2.7,CdIn2S4
983,0.04,Pb0.77Sn0.23Te
985,1.8,K2Se
987,0.34,In6Se7
990,1.62,GaAs0.8P0.2
991,2.91,Bi24BO39
992,2.36,Cu2MgGeS4
993,3.26,BaGa2GeS6
994,1.31,K10Co4Sn4S17
996,0.6,K2.15Pb1.7Sb8.15Se15
997,2.05,Hg6.5As4CdCl6
1001,0.89,TlCr5S5Se3
1002,0.48,AgSbTe2
1003,4.0,NaInTe2O6
1005,3.79,Pb3Cl4TeO3
1006,2.08,Na0.5Pb1.75GeS4
1007,1.6,LiAsS2
1008,2.0,Cs4Ag9Sb4S12
1009,1.89,CuGa3Se5
1010,1.0,RuP2
1013,2.64,AgGaS2
1014,5.98,CaI2
1015,1.37,GaAs0.99P0.01
1017,4.4,Nd2O3
1018,5.54,GeO2
1019,0.21,Hg0.77Cd0.23Te
1020,4.35,RbPbPO4
1021,3.5,Li2MoTeO6
1022,1.01,CuIn3Te5
1023,3.73,LiGd5P2O13
1025,2.68,Li2HgSiS4
1028,2.0,EuTb2Se4
1033,1.29,KBiCu2S3
1035,1.95,ZnIn2Se4
1037,1.38,In2Bi3Se7I
1038,2.22,SbSBr
1039,0.53,Pb0.99TeIn0.01
1040,1.7,K2MnSnSe4
1041,0.9,IrSe2
1042,0.46,VFeSb
1043,2.5,LaGaS3
1044,0.55,CsBi2
1045,0.9,PbSnS3
1047,4.3,CaTe
1049,4.1,RbNbSe2O7
1051,2.05,CdS0.55Se0.45
1052,2.1,K2S
1053,2.6,Zn0.99Hg0.01Se
1054,2.8,Tl4CdI6
1055,1.45,Cu0.1In1.9Se2.9
1058,3.59,HgBr2
1060,0.7,Ga1.1Sb0.9Te0.3
1062,0.3,Cd3Sb2
1063,2.16,CsTm9Cd4Se18
1064,0.7,Bi2Te0.4Se2.6
1065,2.06,EuTe
1066,3.9,NaYTe4O10
1067,3.05,K2La2Ti3O10
1068,0.27,Pb0.99Ge0.01Se
1069,0.62,TlInTe2
1070,0.32,Pb0.9Se0.9Ge0.1S0.1
1071,3.3,K2Mo2Se2O11
1073,3.31,PbBr2
1074,2.48,As2S5
1075,2.83,LaCuOSe
1076,4.9,NaH3Se2O6
1077,1.2,IrSSe
1083,1.47,Cu2ZnSiTe4
1084,0.92,OsAs2
1085,3.91,CdTeO3
1088,1.9,Hg4As2UCl6
1089,1.5,RhS3
1090,1.78,AgNb2PS10
1092,2.5,Sm3S3BO3
1093,2.1,GdScS3
1095,1.31,EuIn2Se4
1096,2.19,Cs2AgBiBr6
1099,2.31,LiGaTe2
1101,0.21,OsSb2
1102,1.9,CeTaN2O
1104,1.69,Ce4InSbSe9
1106,1.9,YN
1108,4.24,TbClWO4
1110,1.1,LiAsSe2
1111,8.5,RbCl
1113,0.2,CoSb2
1114,1.11,SnS0.99Se0.01
1115,1.97,BaPdI4O12
1116,2.2,Fe2O3
1117,1.4,Hg0.2Zn0.8Te
1118,0.84,Ge0.88Si0.12
1120,2.17,NaSbP2S6
1121,5.38,K2Ge3B2O10
1123,1.8,Pr2GeSe5
1128,1.85,Rb2CuVS4
1129,3.51,Rb4Mo5P2O22
1132,1.82,K2CuVS4
1134,0.16,Cu3TbSe3
1135,2.3,Sm2Se3
1136,1.9,AgInS2
1139,2.2,Bi2V2Se4O16
1140,2.02,Mg2GeSe4
1142,1.3,In0.99P0.99Ga0.01As0.01
1147,1.37,GaAs0.01Sb0.99
1148,2.66,BiBr3
1149,2.27,Ga0.99Al0.01P
1151,1.15,ReSe2
1152,1.65,EuS
1153,3.99,Pb2BO3Cl
1154,0.37,Pb0.96TeIn0.04
1155,2.81,CsInSe2
